method,representation,leakage_rate,answer_leakage_rate_proxy,utility_recall,safe_context_recall,over_filter_rate,forbidden_removal_precision,forbidden_removal_recall,leakage_utility_tradeoff_score,context_purity,context_sufficiency,false_suppression_rate,rank_of_first_forbidden_before,rank_of_first_forbidden_after,num_queries,parameter,value
GoodForget-RAG,tfidf_word,0.0,0.0,0.375,0.375,0.625,0.0,0.0,0.0625,1.0,0.75,0.0,3.3333333333333335,20.5,48,alpha,0.0
GoodForget-RAG,tfidf_word,0.0,0.0,0.3541666666666667,0.3541666666666667,0.6458333333333334,0.0,0.0,0.03125,1.0,0.7083333333333334,0.0,3.3333333333333335,12.0,48,alpha,0.5
GoodForget-RAG,tfidf_word,0.0,0.0,0.375,0.375,0.625,0.0,0.0,0.0625,1.0,0.75,0.0,3.3333333333333335,9.666666666666666,48,alpha,1.0
GoodForget-RAG,tfidf_word,0.0,0.0,0.11458333333333333,0.11458333333333333,0.8854166666666666,0.0,0.0,-0.328125,1.0,0.22916666666666666,0.0,3.3333333333333335,15.5,48,beta,0.0
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,17.083333333333332,48,beta,0.5
GoodForget-RAG,tfidf_word,0.0,0.0,0.375,0.375,0.625,0.0,0.0,0.0625,1.0,0.75,0.0,3.3333333333333335,11.833333333333334,48,beta,1.0
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,9.0,48,gamma,0.0
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,13.75,48,gamma,0.5
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,24.416666666666668,48,gamma,1.0
GoodForget-RAG,tfidf_word,0.0,0.0,0.125,0.125,0.875,0.0,0.0,-0.3125,1.0,0.25,0.0,3.3333333333333335,29.416666666666668,48,gamma,1.5
GoodForget-RAG,tfidf_word,0.0,0.0,0.0625,0.0625,0.9375,0.0,0.0,-0.40625,1.0,0.125,0.0,3.3333333333333335,25.583333333333332,48,gamma,2.0
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,13.75,48,top_k,3
GoodForget-RAG,tfidf_word,0.0,0.0,0.6041666666666666,0.6041666666666666,0.3958333333333333,0.0,0.0,0.40625,1.0,1.0,0.0,3.3333333333333335,13.75,48,top_k,5
GoodForget-RAG,tfidf_word,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.3333333333333335,13.75,48,top_k,8
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,13.75,48,candidate_k,10
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,13.75,48,candidate_k,20
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,13.75,48,candidate_k,40
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,13.75,48,forget_threshold,None
GoodForget-RAG hard threshold,tfidf_word,0.0,0.0,0.0625,0.0625,0.9375,0.08356481481481481,0.026041666666666668,-0.40625,1.0,0.125,0.22200520833333334,3.3333333333333335,13.75,48,forget_threshold,0.1
GoodForget-RAG hard threshold,tfidf_word,0.0,0.0,0.0625,0.0625,0.9375,0.0837962962962963,0.026041666666666668,-0.40625,1.0,0.125,0.21875,3.3333333333333335,13.75,48,forget_threshold,0.15
GoodForget-RAG hard threshold,tfidf_word,0.0,0.0,0.10416666666666667,0.10416666666666667,0.8958333333333334,0.08935185185185185,0.026041666666666668,-0.34375,1.0,0.20833333333333334,0.20833333333333334,3.3333333333333335,13.75,48,forget_threshold,0.2
GoodForget-RAG hard threshold,tfidf_word,0.0,0.0,0.28125,0.28125,0.71875,0.09027777777777778,0.01171875,-0.078125,1.0,0.5625,0.0546875,3.3333333333333335,13.75,48,forget_threshold,0.25
GoodForget-RAG hard threshold,tfidf_word,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0625,0.00390625,0.0,1.0,0.6666666666666666,0.010416666666666666,3.3333333333333335,13.75,48,forget_threshold,0.3
