target_method,baseline_method,representation,delta_leakage_rate,delta_utility_recall,delta_over_filter_rate,delta_tradeoff_score,delta_margin_improvement
GoodForget-RAG gamma=0.5,GoodForget-RAG gamma=0,hybrid,-0.8687499999999999,0.0,0.0,0.8687499999999999,0.08460578682362765
GoodForget-RAG gamma=0.5,Positive-only RAG,hybrid,-0.45,0.0,0.0,0.45,0.07081641910420133
GoodForget-RAG gamma=0.5,Query Rewrite RAG,hybrid,-0.45,0.0,0.0,0.45,0.07081641910420133
GoodForget-RAG gamma=0.5,Negative Vector Baseline,hybrid,-0.08750000000000001,0.0,0.0,0.08750000000000001,-0.10711523394963193
GoodForget-RAG gamma=0.5,Metadata Filter,hybrid,0.05,-0.4546875,0.4546875,-0.7320312499999999,0.14409945680866054
GoodForget-RAG gamma=0.5,GoodForget-RAG gamma=0,lsa,-0.2125,-0.04062500000000002,0.04062500000000002,0.1515625,0.11696868440129135
GoodForget-RAG gamma=0.5,Positive-only RAG,lsa,-0.075,-0.004687500000000011,0.004687500000000067,0.06796875,0.09125905511437887
GoodForget-RAG gamma=0.5,Query Rewrite RAG,lsa,-0.075,-0.004687500000000011,0.004687500000000067,0.06796875,0.09125905511437887
GoodForget-RAG gamma=0.5,Negative Vector Baseline,lsa,-0.028125,0.059374999999999956,-0.059374999999999956,0.1171875,-0.1636065550467389
GoodForget-RAG gamma=0.5,Metadata Filter,lsa,0.0,-0.23125000000000007,0.23125,-0.34687500000000004,0.20202492965566313
GoodForget-RAG gamma=0.5,GoodForget-RAG gamma=0,tfidf_char,-0.76875,0.0,0.0,0.76875,0.09633220553673617
GoodForget-RAG gamma=0.5,Positive-only RAG,tfidf_char,-0.35625,0.0,0.0,0.35624999999999996,0.07659903209881795
GoodForget-RAG gamma=0.5,Query Rewrite RAG,tfidf_char,-0.35625,0.0,0.0,0.35624999999999996,0.07659903209881795
GoodForget-RAG gamma=0.5,Negative Vector Baseline,tfidf_char,-0.012500000000000004,0.0,0.0,0.012499999999999983,-0.10710848354987558
GoodForget-RAG gamma=0.5,Metadata Filter,tfidf_char,0.04375,-0.44375,0.44375,-0.7093750000000001,0.16038096320772233
GoodForget-RAG gamma=0.5,GoodForget-RAG gamma=0,tfidf_word,-0.90625,0.0,0.0,0.90625,0.0759106798341282
GoodForget-RAG gamma=0.5,Positive-only RAG,tfidf_word,-0.45625,0.0,0.0,0.45625,0.06806511783319387
GoodForget-RAG gamma=0.5,Query Rewrite RAG,tfidf_word,-0.45625,0.0,0.0,0.45625,0.06806511783319387
GoodForget-RAG gamma=0.5,Negative Vector Baseline,tfidf_word,-0.08437499999999999,0.0,0.0,0.08437499999999999,-0.10370467098950269
GoodForget-RAG gamma=0.5,Metadata Filter,tfidf_word,0.04375,-0.4625,0.4625,-0.7375,0.1308492621332072
