method,representation,leakage_rate,utility_recall,safe_context_recall,over_filter_rate,rank_of_first_forbidden_before,rank_of_first_forbidden_after,forbidden_rank_delta,safe_forbidden_margin_before,safe_forbidden_margin_after,margin_improvement,tradeoff_score,num_queries
Metadata Filter,hybrid,0.0,0.9546875,0.9546875,0.0453125,3.08125,2.615625,-0.465625,0.06382986909236048,0.004336199107327595,-0.059493669985032895,0.93203125,320
GoodForget-RAG gamma=0.5,hybrid,0.05,0.5,0.5,0.5,3.08125,5.50625,2.425,0.06382986909236048,0.14843565591598815,0.08460578682362765,0.2,320
GoodForget-RAG gamma=1.0,hybrid,0.1375,0.5,0.5,0.5,3.08125,6.09375,3.0125,0.06382986909236048,0.23304144273961583,0.1692115736472553,0.1125,320
Negative Vector Baseline,hybrid,0.1375,0.5,0.5,0.5,3.08125,6.15625,3.075,0.06382986909236048,0.2555508898656201,0.1917210207732596,0.1125,320
Vanilla RAG,hybrid,0.58125,0.7625,0.7625,0.2375,3.08125,2.615625,-0.465625,0.06382986909236048,0.004336199107327595,-0.059493669985032895,0.0625,320
Keyword Blocklist,hybrid,0.503125,0.678125,0.678125,0.321875,3.08125,2.615625,-0.465625,0.06382986909236048,0.004336199107327595,-0.059493669985032895,0.0140625,320
GoodForget-RAG gamma=1.5,hybrid,0.2125,0.4828125,0.4828125,0.5171875,3.08125,6.5625,3.48125,0.06382986909236048,0.3176472295632435,0.253817360470883,0.01171875,320
Positive-only RAG,hybrid,0.5,0.5,0.5,0.5,3.08125,3.5,0.41875,0.06382986909236048,0.07761923681178681,0.013789367719426326,-0.25,320
Query Rewrite RAG,hybrid,0.5,0.5,0.5,0.5,3.08125,3.5,0.41875,0.06382986909236048,0.07761923681178681,0.013789367719426326,-0.25,320
GoodForget-RAG gamma=0,hybrid,0.91875,0.5,0.5,0.5,3.08125,3.08125,0.0,0.06382986909236048,0.06382986909236048,0.0,-0.66875,320
Metadata Filter,lsa,0.0,0.6203125,0.6203125,0.3796875,7.35,5.478125,-1.871875,0.06727397336109354,-0.017782271893278242,-0.08505624525437178,0.43046875,320
GoodForget-RAG gamma=0.5,lsa,0.0,0.3890625,0.3890625,0.6109375,7.35,20.8625,13.5125,0.06727397336109354,0.18424265776238488,0.11696868440129135,0.08359375,320
GoodForget-RAG gamma=1.0,lsa,0.009375,0.3546875,0.3546875,0.6453125,7.35,28.0875,20.7375,0.06727397336109354,0.3012113421636763,0.2339373688025827,0.02265625,320
Positive-only RAG,lsa,0.075,0.39375,0.39375,0.60625,7.35,11.9125,4.5625,0.06727397336109354,0.09298360264800601,0.025709629286912478,0.015625,320
Query Rewrite RAG,lsa,0.075,0.39375,0.39375,0.60625,7.35,11.9125,4.5625,0.06727397336109354,0.09298360264800601,0.025709629286912478,0.015625,320
Negative Vector Baseline,lsa,0.028125,0.3296875,0.3296875,0.6703125,7.35,28.76875,21.41875,0.06727397336109354,0.3478492128091238,0.28057523944803026,-0.03359375,320
GoodForget-RAG gamma=0,lsa,0.2125,0.4296875,0.4296875,0.5703125,7.35,7.35,0.0,0.06727397336109354,0.06727397336109354,0.0,-0.06796875,320
GoodForget-RAG gamma=1.5,lsa,0.05,0.3078125,0.3078125,0.6921875,7.35,28.465625,21.115625,0.06727397336109354,0.41818002656496767,0.3509060532038741,-0.08828125,320
Keyword Blocklist,lsa,0.4125,0.41875,0.41875,0.58125,7.35,5.478125,-1.871875,0.06727397336109354,-0.017782271893278242,-0.08505624525437178,-0.284375,320
Vanilla RAG,lsa,0.5375,0.478125,0.478125,0.521875,7.35,5.478125,-1.871875,0.06727397336109354,-0.017782271893278242,-0.08505624525437178,-0.3203125,320
Metadata Filter,tfidf_char,0.0,0.94375,0.94375,0.05625,3.234375,2.51875,-0.715625,0.0491648215902993,-0.014883936080686852,-0.06404875767098615,0.915625,320
GoodForget-RAG gamma=1.0,tfidf_char,0.00625,0.5,0.5,0.5,3.234375,9.5875,6.353125,0.0491648215902993,0.2418292326637716,0.19266441107347232,0.24375,320
GoodForget-RAG gamma=0.5,tfidf_char,0.04375,0.5,0.5,0.5,3.234375,8.06875,4.834375,0.0491648215902993,0.14549702712703547,0.09633220553673617,0.20625,320
Negative Vector Baseline,tfidf_char,0.05625,0.5,0.5,0.5,3.234375,9.303125,6.06875,0.0491648215902993,0.25260551067691106,0.20344068908661175,0.19375,320
GoodForget-RAG gamma=1.5,tfidf_char,0.05625,0.4765625,0.4765625,0.5234375,3.234375,10.309375,7.075,0.0491648215902993,0.3381614382005078,0.2889966166102085,0.15859375,320
Keyword Blocklist,tfidf_char,0.54375,0.615625,0.615625,0.384375,3.234375,2.51875,-0.715625,0.0491648215902993,-0.014883936080686852,-0.06404875767098615,-0.1203125,320
Positive-only RAG,tfidf_char,0.4,0.5,0.5,0.5,3.234375,3.9375,0.703125,0.0491648215902993,0.06889799502821752,0.01973317343791822,-0.15,320
Query Rewrite RAG,tfidf_char,0.4,0.5,0.5,0.5,3.234375,3.9375,0.703125,0.0491648215902993,0.06889799502821752,0.01973317343791822,-0.15,320
Vanilla RAG,tfidf_char,0.65625,0.6671875,0.6671875,0.3328125,3.234375,2.51875,-0.715625,0.0491648215902993,-0.014883936080686852,-0.06404875767098615,-0.15546875,320
GoodForget-RAG gamma=0,tfidf_char,0.8125,0.5,0.5,0.5,3.234375,3.234375,0.0,0.0491648215902993,0.0491648215902993,0.0,-0.5625,320
Metadata Filter,tfidf_word,0.0,0.9625,0.9625,0.0375,3.05,3.23125,0.18125,0.07849491659442061,0.023556334295341617,-0.054938582299078983,0.94375,320
Vanilla RAG,tfidf_word,0.465625,0.8125,0.8125,0.1875,3.05,3.23125,0.18125,0.07849491659442061,0.023556334295341617,-0.054938582299078983,0.253125,320
GoodForget-RAG gamma=0.5,tfidf_word,0.04375,0.5,0.5,0.5,3.05,4.953125,1.903125,0.07849491659442061,0.1544055964285488,0.0759106798341282,0.20625,320
Keyword Blocklist,tfidf_word,0.4125,0.728125,0.728125,0.271875,3.05,3.23125,0.18125,0.07849491659442061,0.023556334295341617,-0.054938582299078983,0.1796875,320
Negative Vector Baseline,tfidf_word,0.128125,0.5,0.5,0.5,3.05,4.81875,1.76875,0.07849491659442061,0.2581102674180515,0.1796153508236309,0.121875,320
GoodForget-RAG gamma=1.0,tfidf_word,0.140625,0.5,0.5,0.5,3.05,4.696875,1.646875,0.07849491659442061,0.230316276262677,0.1518213596682564,0.109375,320
GoodForget-RAG gamma=1.5,tfidf_word,0.259375,0.4875,0.4875,0.5125,3.05,4.4875,1.4375,0.07849491659442061,0.3062269560968052,0.2277320395023846,-0.028125,320
Positive-only RAG,tfidf_word,0.5,0.5,0.5,0.5,3.05,3.5,0.45,0.07849491659442061,0.08634047859535493,0.007845562000934333,-0.25,320
Query Rewrite RAG,tfidf_word,0.5,0.5,0.5,0.5,3.05,3.5,0.45,0.07849491659442061,0.08634047859535493,0.007845562000934333,-0.25,320
GoodForget-RAG gamma=0,tfidf_word,0.95,0.5,0.5,0.5,3.05,3.05,0.0,0.07849491659442061,0.07849491659442061,0.0,-0.7,320
