noise_setting,method,representation,leakage_rate,answer_leakage_rate_proxy,utility_recall,safe_context_recall,over_filter_rate,forbidden_removal_precision,forbidden_removal_recall,leakage_utility_tradeoff_score,context_purity,context_sufficiency,false_suppression_rate,rank_of_first_forbidden_before,rank_of_first_forbidden_after,num_queries
0% missing forbidden labels,GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,13.75,48
0% missing forbidden labels,Hybrid Metadata + GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,,,48
0% missing forbidden labels,Metadata Filter,tfidf_word,0.0,0.0,0.3541666666666667,0.3541666666666667,0.6458333333333334,1.0,0.12890625,0.03125,1.0,0.7083333333333334,0.0,3.3333333333333335,3.3333333333333335,48
10% false positive forbidden labels,GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,2.7291666666666665,7.520833333333333,48
10% false positive forbidden labels,Hybrid Metadata + GoodForget-RAG,tfidf_word,0.0,0.0,0.3541666666666667,0.3541666666666667,0.6458333333333334,0.0,0.0,0.03125,1.0,0.6875,0.0,,,48
10% false positive forbidden labels,Metadata Filter,tfidf_word,0.0,0.0,0.3541666666666667,0.3541666666666667,0.6458333333333334,1.0,0.1386904761904762,0.03125,1.0,0.6666666666666666,0.0,2.7291666666666665,2.7291666666666665,48
10% missing forbidden labels,GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.375,13.75,48
10% missing forbidden labels,Hybrid Metadata + GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,,,48
10% missing forbidden labels,Metadata Filter,tfidf_word,0.041666666666666664,0.041666666666666664,0.34375,0.34375,0.65625,1.0,0.1336206896551724,-0.026041666666666668,0.9861111111111112,0.6875,0.0,3.375,3.375,48
25% false positive forbidden labels,GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,1.4166666666666667,3.0625,48
25% false positive forbidden labels,Hybrid Metadata + GoodForget-RAG,tfidf_word,0.0,0.0,0.375,0.375,0.625,0.0,0.0,0.0625,1.0,0.75,0.0,,,48
25% false positive forbidden labels,Metadata Filter,tfidf_word,0.0,0.0,0.3541666666666667,0.3541666666666667,0.6458333333333334,1.0,0.13958333333333334,0.03125,1.0,0.7083333333333334,0.0,1.4166666666666667,1.4166666666666667,48
25% missing forbidden labels,GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.8125,13.75,48
25% missing forbidden labels,Hybrid Metadata + GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,,,48
25% missing forbidden labels,Metadata Filter,tfidf_word,0.1875,0.1875,0.3229166666666667,0.3229166666666667,0.6770833333333334,1.0,0.1388888888888889,-0.203125,0.9375,0.6458333333333334,0.0,3.8125,3.8125,48
50% missing forbidden labels,GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,5.041666666666667,14.25,48
50% missing forbidden labels,Hybrid Metadata + GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,,,48
50% missing forbidden labels,Metadata Filter,tfidf_word,0.3333333333333333,0.3333333333333333,0.2604166666666667,0.2604166666666667,0.7395833333333334,0.9375,0.12630208333333334,-0.4427083333333333,0.8680555555555555,0.5208333333333334,0.0,5.041666666666667,5.041666666666667,48
