gamma,forget_threshold,leakage_rate,utility_recall,safe_context_recall,over_filter_rate,empty_context_rate
0.5,0.1,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
0.5,0.15,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
0.5,0.2,0.0,0.75,0.75,0.25,0.0
0.5,0.25,0.0,0.75,0.75,0.25,0.0
0.5,0.3,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.0
1.0,0.1,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
1.0,0.15,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
1.0,0.2,0.0,0.75,0.75,0.25,0.0
1.0,0.25,0.0,0.75,0.75,0.25,0.0
1.0,0.3,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.0
1.5,0.1,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
1.5,0.15,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
1.5,0.2,0.0,0.75,0.75,0.25,0.0
1.5,0.25,0.0,0.75,0.75,0.25,0.0
1.5,0.3,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.0
2.0,0.1,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
2.0,0.15,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
2.0,0.2,0.0,0.75,0.75,0.25,0.0
2.0,0.25,0.0,0.75,0.75,0.25,0.0
2.0,0.3,0.0,0.75,0.75,0.25,0.0
